iter	Passed	Remaining
0	1	273
1	2	237
2	3	217
3	4	205
4	5	200
5	6	195
6	6	187
7	7	184
8	8	186
9	10	190
10	10	184
11	11	177
12	11	170
13	12	167
14	13	161
15	13	157
16	14	157
17	15	153
18	15	149
19	16	146
20	16	144
21	17	143
22	19	151
23	20	150
24	21	147
25	21	144
26	22	142
27	22	139
28	23	139
29	24	137
30	24	135
31	25	133
32	26	131
33	26	129
34	27	127
35	27	126
36	28	125
37	29	125
38	30	126
39	31	124
40	31	123
41	32	122
42	33	121
43	33	119
44	34	118
45	34	116
46	35	115
47	36	114
48	36	113
49	37	111
50	37	110
51	38	109
52	39	108
53	40	108
54	41	108
55	42	108
56	42	107
57	43	106
58	43	104
59	44	103
60	45	102
61	45	101
62	46	100
63	46	99
64	47	98
65	47	97
66	48	96
67	48	95
68	49	94
69	50	93
70	50	92
71	52	92
72	53	92
73	53	91
74	54	90
75	55	89
76	55	88
77	56	87
78	56	86
79	57	85
80	57	85
81	58	84
82	58	83
83	59	82
84	60	81
85	60	80
86	61	79
87	62	79
88	63	78
89	63	77
90	64	77
91	65	76
92	66	76
93	66	75
94	67	74
95	68	73
96	68	73
97	69	72
98	70	71
99	70	70
100	71	69
101	71	68
102	72	68
103	73	67
104	73	66
105	74	66
106	75	65
107	76	65
108	77	64
109	77	63
110	78	62
111	78	62
112	79	61
113	80	60
114	80	59
115	81	58
116	81	57
117	82	57
118	83	56
119	83	55
120	84	54
121	84	54
122	85	53
123	86	53
124	87	52
125	88	51
126	88	51
127	89	50
128	90	49
129	90	48
130	91	48
131	92	47
132	92	46
133	93	46
134	94	45
135	94	44
136	95	43
137	96	43
138	97	42
139	98	42
140	98	41
141	99	40
142	100	40
143	101	39
144	101	38
145	102	37
146	102	37
147	103	36
148	104	35
149	104	34
150	105	34
151	106	33
152	106	32
153	107	32
154	108	31
155	109	30
156	109	30
157	110	29
158	111	28
159	112	28
160	113	27
161	113	26
162	114	25
163	115	25
164	115	24
165	116	23
166	117	23
167	117	22
168	118	21
169	118	20
170	119	20
171	120	19
172	120	18
173	121	18
174	122	17
175	123	16
176	124	16
177	125	15
178	125	14
179	126	14
180	127	13
181	127	12
182	128	11
183	128	11
184	129	10
185	130	9
186	131	9
187	131	8
188	132	7
189	133	7
190	134	6
191	135	5
192	136	4
193	136	4
194	137	3
195	137	2
196	138	2
197	139	1
198	139	0
199	140	0
