iter	RMSE
0	14.56960567
1	14.13576272
2	13.72200256
3	13.31706392
4	12.9793486
5	12.60956316
6	12.28410271
7	11.95642006
8	11.62227278
9	11.33114378
10	11.06830857
11	10.78911058
12	10.55916925
13	10.34164713
14	10.09823442
15	9.903722427
16	9.712124046
17	9.524599677
18	9.322743449
19	9.160898106
20	9.017980475
21	8.869822964
22	8.71989878
23	8.572187541
24	8.446314698
25	8.301922605
26	8.182639304
27	8.043853812
28	7.935630434
29	7.824388072
30	7.726503939
31	7.628809373
32	7.54337035
33	7.44807978
34	7.34651355
35	7.25498593
36	7.172750962
37	7.096261991
38	7.034914863
39	6.966407517
40	6.903430274
41	6.84165392
42	6.774303612
43	6.723642721
44	6.668909429
45	6.614313627
46	6.567844615
47	6.534643585
48	6.50275683
49	6.454728359
50	6.414522975
51	6.381199333
52	6.33035801
53	6.293753061
54	6.251923861
55	6.217012915
56	6.187393837
57	6.154411256
58	6.127796831
59	6.099964122
60	6.068374845
61	6.033713639
62	6.008773325
63	5.97862061
64	5.954334674
65	5.93294934
66	5.912143555
67	5.89568777
68	5.879544299
69	5.863221135
70	5.840877911
71	5.824561887
72	5.81039128
73	5.796185094
74	5.786035244
75	5.771762199
76	5.756829394
77	5.740552724
78	5.72370923
79	5.710070051
80	5.695400409
81	5.680520139
82	5.665398053
83	5.654367271
84	5.643443525
85	5.63319217
86	5.620385856
87	5.615485748
88	5.604433558
89	5.593830082
90	5.583035638
91	5.57297887
92	5.568506202
93	5.561235079
94	5.554417139
95	5.545057016
96	5.535323384
97	5.524814824
98	5.513880511
99	5.508118034
100	5.501680639
101	5.496073887
102	5.491144318
103	5.480324873
104	5.474124515
105	5.467388568
106	5.457855931
107	5.45034763
108	5.443643984
109	5.439818212
110	5.434296932
111	5.427044736
112	5.42281173
113	5.420645723
114	5.417081075
115	5.41126083
116	5.407126725
117	5.401330613
118	5.397937616
119	5.393795745
120	5.390325397
121	5.385405601
122	5.37982152
123	5.375728521
124	5.371235644
125	5.368050275
126	5.364103645
127	5.360537465
128	5.355181761
129	5.352161105
130	5.349626395
131	5.344827429
132	5.340345514
133	5.337140693
134	5.335100715
135	5.330017804
136	5.326588091
137	5.324622092
138	5.321644242
139	5.318828585
140	5.317916879
141	5.315917747
142	5.3123856
143	5.308640913
144	5.303380614
145	5.299923966
146	5.298681104
147	5.294993921
148	5.291783177
149	5.28961948
150	5.287852377
151	5.285820304
152	5.28246625
153	5.280345194
154	5.278647547
155	5.277060345
156	5.274656976
157	5.268563389
158	5.265360043
159	5.26432285
160	5.260094775
161	5.257695929
162	5.252805884
163	5.25137188
164	5.249752896
165	5.247834304
166	5.242943348
167	5.240329996
168	5.235201666
169	5.230452607
170	5.225762558
171	5.222248277
172	5.220342297
173	5.218863817
174	5.216743439
175	5.214107369
176	5.212002319
177	5.209926319
178	5.207694237
179	5.205595475
180	5.204136518
181	5.202142362
182	5.201859762
183	5.199919003
184	5.198299133
185	5.197276261
186	5.195812837
187	5.195078054
188	5.192551027
189	5.190782812
190	5.189044589
191	5.18664382
192	5.183873327
193	5.181291392
194	5.179492979
195	5.178288662
196	5.176495577
197	5.174860899
198	5.172684408
199	5.171112533
