iter	Passed	Remaining
0	1	212
1	1	197
2	2	178
3	3	158
4	3	147
5	4	142
6	4	137
7	5	133
8	6	129
9	6	127
10	7	134
11	8	135
12	9	135
13	10	133
14	10	131
15	11	130
16	12	130
17	12	128
18	13	128
19	14	126
20	14	126
21	15	125
22	16	123
23	16	121
24	17	119
25	17	117
26	18	117
27	18	116
28	19	114
29	20	114
30	20	113
31	21	112
32	22	113
33	22	111
34	23	111
35	24	109
36	24	108
37	25	107
38	25	106
39	26	105
40	26	104
41	27	103
42	27	102
43	28	100
44	28	99
45	29	99
46	30	98
47	30	96
48	31	95
49	31	94
50	32	94
51	33	94
52	33	93
53	34	93
54	35	92
55	35	92
56	36	91
57	36	90
58	37	89
59	37	88
60	38	87
61	39	86
62	39	85
63	40	85
64	40	84
65	41	84
66	41	83
67	42	82
68	43	82
69	43	81
70	44	81
71	45	80
72	46	80
73	46	80
74	47	79
75	48	78
76	48	77
77	49	77
78	49	76
79	50	75
80	50	74
81	51	74
82	52	73
83	52	72
84	53	72
85	53	71
86	54	70
87	55	70
88	55	69
89	56	68
90	57	68
91	57	67
92	58	67
93	58	66
94	59	65
95	60	65
96	60	64
97	61	63
98	61	62
99	62	62
100	62	61
101	63	60
102	64	60
103	64	59
104	65	59
105	65	58
106	66	57
107	67	57
108	67	56
109	68	55
110	68	55
111	69	54
112	69	53
113	70	53
114	70	52
115	71	51
116	71	51
117	72	50
118	72	49
119	73	49
120	74	48
121	74	47
122	75	47
123	75	46
124	76	45
125	76	45
126	77	44
127	77	43
128	78	43
129	78	42
130	79	41
131	79	41
132	80	40
133	80	39
134	81	39
135	82	38
136	82	38
137	83	37
138	84	36
139	84	36
140	85	35
141	85	34
142	86	34
143	86	33
144	87	33
145	87	32
146	88	31
147	88	31
148	89	30
149	89	29
150	90	29
151	90	28
152	91	28
153	91	27
154	92	26
155	92	26
156	93	25
157	93	24
158	94	24
159	94	23
160	95	23
161	96	22
162	96	21
163	97	21
164	97	20
165	98	20
166	98	19
167	99	18
168	100	18
169	100	17
170	101	17
171	102	16
172	102	16
173	103	15
174	104	14
175	105	14
176	105	13
177	106	13
178	107	12
179	109	12
180	109	11
181	110	10
182	110	10
183	111	9
184	111	9
185	112	8
186	112	7
187	113	7
188	113	6
189	114	6
190	114	5
191	115	4
192	115	4
193	116	3
194	117	3
195	117	2
196	118	1
197	119	1
198	119	0
199	120	0
